אלי אבידר,1964,Full
יולי יואל אדלשטיין,1958,Full
אמיר אוחנה,1976,Full
ינון אזולאי,1979,Full
ישראל אייכלר,1955,Full
קארין אלהרר,1977,Full
זאב אלקין,1971,Full
דוד אמסלם,1960,Full
אופיר אקוניס,1973,Full
משה ארבל,1983,Full
גלעד ארדן,1970,Full
גבי אשכנזי,1954,Full
יעקב אשר,1965,Full
מיכאל מרדכי ביטון,1970,Full
דוד ביטן,1960,Full
רם בן ברק,1958,Full
יואב בן צור,1958,Full
אלי בן-דהן,1954,Full
אורנה ברביבאי,1962,Full
קרן ברק,1972,Full
ניר ברקת,1959,Full
אבי גבאי,1967,Full
יוסף ג'בארין,1972,Full
מאי גולן,1986,Full
אילן גילאון,1956,Full
איתן גינזבורג,1977,Full
יואב גלנט,1958,Full
גילה גמליאל,1974,Full
בני גנץ,1959,Full
משה גפני,1952,Full
יעל גרמן,1947,Full
עוזי דיין,1948,Full
אבי דיכטר,1952,Full
אריה מכלוף דרעי,1959,Full
צבי האוזר,1968,Full
צחי הנגבי,1957,Full
יועז הנדל,1975,Full
שרן מרים השכל,1984,Full
מכלוף מיקי זוהר,1980,Full
אסף זמיר,1980,Full
תמר זנדברג,1976,Full
עבד אלחכים חאג' יחיא,1965,Full
ציפי חוטובלי,1978,Full
מיקי חיימוביץ',1962,Full
בועז טופורובסקי,1980,Full
אחמד טיבי,1958,Full
יעקב טסלר,1973,Full
חילי טרופר,1978,Full
דסטה גדי יברקן,1981,Full
מרדכי יוגב,1956,Full
היבה יזבק,1985,Full
שלי יחימוביץ',1960,Full
עומר ינקלביץ',1978,Full
משה יעלון,1950,Full
אלי אליהו כהן,1972,Full
יצחק כהן,1951,Full
מאיר כהן,1955,Full
מירב כהן,1983,Full
משה כחלון,1960,Full
ע'דיר כמאל מריח,1984,Full
עופר כסיף,1964,Full
אופיר כץ,1980,Full
חיים כץ,1947,Full
ישראל כץ,1955,Full
יוראי להב הרצנו,1988,Full
מיקי לוי,1951,Full
יריב לוין,1969,Full
אביגדור ליברמן,1958,Full
יעקב ליצמן,1948,Full
יאיר לפיד,1963,Full
אוסנת הילה מארק,1967,Full
פטין מולא,1960,Full
מרב מיכאלי,1966,Partial
יוליה מלינובסקי,1975,Full
מיכאל  מלכיאלי,1982,Full
אורי מקלב,1957,Full
יעקב מרגי,1960,Full
משולם נהרי,1951,Full
אבי ניסנקורן,1967,Full
בנימין נתניהו,1949,Full
יואב סגלוביץ',1959,Full
יבגני סובה,1980,Full
אופיר סופר,1974,Full
עידית סילמן,1980,Full
בצלאל סמוטריץ',1980,Full
אוסאמה סעדי,1963,Full
גדעון סער,1966,Full
מנסור עבאס,1974,Full
איימן עודה,1975,Full
חוה אתי עטייה,1960,Full
רועי פולקמן,1975,Full
עודד פורר,1977,Full
יצחק זאב פינדרוס,1971,Full
אורלי פרומן,1955,Full
מאיר פרוש,1955,Full
עיסאווי פריג',1963,Full
עמיר פרץ,1952,Full
רפאל פרץ,1956,Full
אורית פרקש הכהן,1970,Full
יואב קיש,1968,Full
אריאל קלנר,1980,Full
שלמה קרעי,1982,Full
מירי מרים רגב,1965,Full
מיכל רוזין,1969,Full
עידן רול,1984,Full
טל רוסו,1959,Full
יואל רזבוזוב,1980,Full
יפעת שאשא ביטון,1973,Full
אלון שוסטר,1957,Full
אנטאנס שחאדה,1972,Full
יובל שטייניץ,1958,Full
קטי קטרין שטרית,1960,Full
אלעזר שטרן,1956,Full
יזהר שי,1963,Full
מיכל שיר סגמן,1979,Full
עפר שלח,1960,Full
איציק שמולי,1980,Full
סתיו שפיר,1985,Partial
רם שפע,1985,Full
עאידה תומא סלימאן,1964,Full
פנינה תמנו,1981,Full
